fecha,isla,turistas
2021-10-01,Fuerteventura,166728.0
2021-11-01,Fuerteventura,155070.0
2021-12-01,Fuerteventura,133880.0
2022-01-01,Fuerteventura,96901.0
2022-02-01,Fuerteventura,139956.0
2022-03-01,Fuerteventura,161077.0
2022-04-01,Fuerteventura,175769.0
2022-05-01,Fuerteventura,152060.0
2022-06-01,Fuerteventura,165486.0
2022-07-01,Fuerteventura,199724.0
2022-08-01,Fuerteventura,202066.0
2022-09-01,Fuerteventura,176586.0
2022-10-01,Fuerteventura,206242.0
2022-11-01,Fuerteventura,182869.0
2022-12-01,Fuerteventura,198759.0
2023-01-01,Fuerteventura,170697.0
2023-02-01,Fuerteventura,183123.0
2023-03-01,Fuerteventura,206021.0
2023-04-01,Fuerteventura,194775.0
2023-05-01,Fuerteventura,164027.0
2023-06-01,Fuerteventura,171601.0
2023-07-01,Fuerteventura,194625.0
2023-08-01,Fuerteventura,193020.0
2023-09-01,Fuerteventura,181168.0
2023-10-01,Fuerteventura,203590.0
2023-11-01,Fuerteventura,204080.0
2023-12-01,Fuerteventura,208132.0
2024-01-01,Fuerteventura,194146.0
2024-02-01,Fuerteventura,214692.0
2024-03-01,Fuerteventura,239527.0
2024-04-01,Fuerteventura,191994.0
2024-05-01,Fuerteventura,177360.0
2024-06-01,Fuerteventura,187517.0
2024-07-01,Fuerteventura,208694.0
2024-08-01,Fuerteventura,211185.0
2024-09-01,Fuerteventura,192409.0
2024-10-01,Fuerteventura,220263.0
2024-11-01,Fuerteventura,227149.0
2024-12-01,Fuerteventura,228180.0
2025-01-01,Fuerteventura,212431.0
2025-02-01,Fuerteventura,231700.0
2025-03-01,Fuerteventura,253059.0
2025-04-01,Fuerteventura,223147.0
2025-05-01,Fuerteventura,196762.0
2025-06-01,Fuerteventura,203560.0
2025-07-01,Fuerteventura,239946.0
2025-08-01,Fuerteventura,240012.0
2025-09-01,Fuerteventura,214626.0
2025-10-01,Fuerteventura,238849.0
2025-11-01,Fuerteventura,229818.0
2025-12-01,Fuerteventura,225686.0
2026-01-01,Fuerteventura,210324.0
2026-02-01,Fuerteventura,228043.0
2026-03-01,Fuerteventura,255514.0
2026-04-01,Fuerteventura,203155.0
2026-05-01,Fuerteventura,191364.0
2010-01-01,Gran Canaria,290465.0
2010-02-01,Gran Canaria,276876.0
2010-03-01,Gran Canaria,300470.0
2010-04-01,Gran Canaria,193218.0
2010-05-01,Gran Canaria,190268.0
2010-06-01,Gran Canaria,179519.0
2010-07-01,Gran Canaria,207596.0
2010-08-01,Gran Canaria,234627.0
2010-09-01,Gran Canaria,192234.0
2010-10-01,Gran Canaria,263516.0
2010-11-01,Gran Canaria,289141.0
2010-12-01,Gran Canaria,280934.0
2011-01-01,Gran Canaria,311604.0
2011-02-01,Gran Canaria,291784.0
2011-03-01,Gran Canaria,314244.0
2011-04-01,Gran Canaria,267562.0
2011-05-01,Gran Canaria,194423.0
2011-06-01,Gran Canaria,204571.0
2011-07-01,Gran Canaria,251723.0
2011-08-01,Gran Canaria,261161.0
2011-09-01,Gran Canaria,203398.0
2011-10-01,Gran Canaria,292941.0
2011-11-01,Gran Canaria,304609.0
2011-12-01,Gran Canaria,324162.0
2012-01-01,Gran Canaria,315338.0
2012-02-01,Gran Canaria,313172.0
2012-03-01,Gran Canaria,319085.0
2012-04-01,Gran Canaria,233929.0
2012-05-01,Gran Canaria,199064.0
2012-06-01,Gran Canaria,204062.0
2012-07-01,Gran Canaria,250662.0
2012-08-01,Gran Canaria,259590.0
2012-09-01,Gran Canaria,221021.0
2012-10-01,Gran Canaria,277643.0
2012-11-01,Gran Canaria,302100.0
2012-12-01,Gran Canaria,319370.0
2013-01-01,Gran Canaria,303244.0
2013-02-01,Gran Canaria,303468.0
2013-03-01,Gran Canaria,326636.0
2013-04-01,Gran Canaria,214512.0
2013-05-01,Gran Canaria,202699.0
2013-06-01,Gran Canaria,204953.0
2013-07-01,Gran Canaria,260362.0
2013-08-01,Gran Canaria,263616.0
2013-09-01,Gran Canaria,234381.0
2013-10-01,Gran Canaria,309151.0
2013-11-01,Gran Canaria,365414.0
2013-12-01,Gran Canaria,374193.0
2014-01-01,Gran Canaria,346070.0
2014-02-01,Gran Canaria,316132.0
2014-03-01,Gran Canaria,363008.0
2014-04-01,Gran Canaria,266947.0
2014-05-01,Gran Canaria,210965.0
2014-06-01,Gran Canaria,209117.0
2014-07-01,Gran Canaria,276545.0
2014-08-01,Gran Canaria,289812.0
2014-09-01,Gran Canaria,234397.0
2014-10-01,Gran Canaria,306315.0
2014-11-01,Gran Canaria,352363.0
2014-12-01,Gran Canaria,362206.0
2015-01-01,Gran Canaria,359671.0
2015-02-01,Gran Canaria,317756.0
2015-03-01,Gran Canaria,318917.0
2015-04-01,Gran Canaria,270179.0
2015-05-01,Gran Canaria,225676.0
2015-06-01,Gran Canaria,217994.0
2015-07-01,Gran Canaria,288865.0
2015-08-01,Gran Canaria,292319.0
2015-09-01,Gran Canaria,255892.0
2015-10-01,Gran Canaria,340135.0
2015-11-01,Gran Canaria,372039.0
2015-12-01,Gran Canaria,390954.0
2016-01-01,Gran Canaria,385830.0
2016-02-01,Gran Canaria,348816.0
2016-03-01,Gran Canaria,367729.0
2016-04-01,Gran Canaria,305456.0
2016-05-01,Gran Canaria,260604.0
2016-06-01,Gran Canaria,270623.0
2016-07-01,Gran Canaria,354510.0
2016-08-01,Gran Canaria,347710.0
2016-09-01,Gran Canaria,302105.0
2016-10-01,Gran Canaria,402790.0
2016-11-01,Gran Canaria,387333.0
2016-12-01,Gran Canaria,402601.0
2017-01-01,Gran Canaria,386961.0
2017-02-01,Gran Canaria,370716.0
2017-03-01,Gran Canaria,417814.0
2017-04-01,Gran Canaria,387833.0
2017-05-01,Gran Canaria,280111.0
2017-06-01,Gran Canaria,296402.0
2017-07-01,Gran Canaria,370624.0
2017-08-01,Gran Canaria,376286.0
2017-09-01,Gran Canaria,345710.0
2017-10-01,Gran Canaria,412245.0
2017-11-01,Gran Canaria,418479.0
2017-12-01,Gran Canaria,414782.0
2018-01-01,Gran Canaria,418655.0
2018-02-01,Gran Canaria,386684.0
2018-03-01,Gran Canaria,432152.0
2018-04-01,Gran Canaria,336764.0
2018-05-01,Gran Canaria,277906.0
2018-06-01,Gran Canaria,295054.0
2018-07-01,Gran Canaria,367699.0
2018-08-01,Gran Canaria,365690.0
2018-09-01,Gran Canaria,321968.0
2018-10-01,Gran Canaria,391723.0
2018-11-01,Gran Canaria,396021.0
2018-12-01,Gran Canaria,413284.0
2019-01-01,Gran Canaria,413215.0
2019-02-01,Gran Canaria,387168.0
2019-03-01,Gran Canaria,443778.0
2019-04-01,Gran Canaria,317388.0
2019-05-01,Gran Canaria,257789.0
2019-06-01,Gran Canaria,267626.0
2019-07-01,Gran Canaria,330536.0
2019-08-01,Gran Canaria,323679.0
2019-09-01,Gran Canaria,288433.0
2019-10-01,Gran Canaria,351275.0
2019-11-01,Gran Canaria,402791.0
2019-12-01,Gran Canaria,410394.0
2020-01-01,Gran Canaria,391217.0
2020-02-01,Gran Canaria,384035.0
2020-03-01,Gran Canaria,138620.0
2020-06-01,Gran Canaria,6271.0
2020-07-01,Gran Canaria,68903.0
2020-08-01,Gran Canaria,99955.0
2020-09-01,Gran Canaria,37138.0
2020-10-01,Gran Canaria,41890.0
2020-11-01,Gran Canaria,60363.0
2020-12-01,Gran Canaria,72973.0
2021-01-01,Gran Canaria,38892.0
2021-02-01,Gran Canaria,29738.0
2021-03-01,Gran Canaria,46789.0
2021-04-01,Gran Canaria,51282.0
2021-05-01,Gran Canaria,66688.0
2021-06-01,Gran Canaria,92949.0
2021-07-01,Gran Canaria,144627.0
2021-08-01,Gran Canaria,189955.0
2021-09-01,Gran Canaria,192295.0
2021-10-01,Gran Canaria,289689.0
2021-11-01,Gran Canaria,301179.0
2021-12-01,Gran Canaria,312176.0
2022-01-01,Gran Canaria,248343.0
2022-02-01,Gran Canaria,285267.0
2022-03-01,Gran Canaria,316852.0
2022-04-01,Gran Canaria,338555.0
2022-05-01,Gran Canaria,255580.0
2022-06-01,Gran Canaria,262944.0
2022-07-01,Gran Canaria,313128.0
2022-08-01,Gran Canaria,328263.0
2022-09-01,Gran Canaria,272739.0
2022-10-01,Gran Canaria,372120.0
2022-11-01,Gran Canaria,383373.0
2022-12-01,Gran Canaria,411447.0
2023-01-01,Gran Canaria,398453.0
2023-02-01,Gran Canaria,384494.0
2023-03-01,Gran Canaria,396534.0
2023-04-01,Gran Canaria,347046.0
2023-05-01,Gran Canaria,266431.0
2023-06-01,Gran Canaria,266540.0
2023-07-01,Gran Canaria,321886.0
2023-08-01,Gran Canaria,321107.0
2023-09-01,Gran Canaria,295635.0
2023-10-01,Gran Canaria,386989.0
2023-11-01,Gran Canaria,408104.0
2023-12-01,Gran Canaria,441922.0
2024-01-01,Gran Canaria,427388.0
2024-02-01,Gran Canaria,450274.0
2024-03-01,Gran Canaria,481665.0
2024-04-01,Gran Canaria,352423.0
2024-05-01,Gran Canaria,294006.0
2024-06-01,Gran Canaria,290642.0
2024-07-01,Gran Canaria,323976.0
2024-08-01,Gran Canaria,335413.0
2024-09-01,Gran Canaria,312185.0
2024-10-01,Gran Canaria,410664.0
2024-11-01,Gran Canaria,445886.0
2024-12-01,Gran Canaria,462883.0
2025-01-01,Gran Canaria,447027.0
2025-02-01,Gran Canaria,449148.0
2025-03-01,Gran Canaria,472948.0
2025-04-01,Gran Canaria,377332.0
2025-05-01,Gran Canaria,308218.0
2025-06-01,Gran Canaria,310632.0
2025-07-01,Gran Canaria,356019.0
2025-08-01,Gran Canaria,358733.0
2025-09-01,Gran Canaria,331173.0
2025-10-01,Gran Canaria,408307.0
2025-11-01,Gran Canaria,444570.0
2025-12-01,Gran Canaria,461447.0
2026-01-01,Gran Canaria,456475.0
2026-02-01,Gran Canaria,447582.0
2026-03-01,Gran Canaria,470348.0
2026-04-01,Gran Canaria,368779.0
2026-05-01,Gran Canaria,303767.0
2017-01-01,La Gomera,16512.0
2017-02-01,La Gomera,14802.0
2017-03-01,La Gomera,18968.0
2017-04-01,La Gomera,17789.0
2017-05-01,La Gomera,13258.0
2017-06-01,La Gomera,12073.0
2017-07-01,La Gomera,21219.0
2017-08-01,La Gomera,25779.0
2017-09-01,La Gomera,19950.0
2017-10-01,La Gomera,21652.0
2017-11-01,La Gomera,19817.0
2017-12-01,La Gomera,17478.0
2018-02-01,La Gomera,18624.0
2018-03-01,La Gomera,19061.0
2018-04-01,La Gomera,15005.0
2018-05-01,La Gomera,14612.0
2018-06-01,La Gomera,13139.0
2018-07-01,La Gomera,20022.0
2018-08-01,La Gomera,25721.0
2018-09-01,La Gomera,19277.0
2018-10-01,La Gomera,22148.0
2018-11-01,La Gomera,18283.0
2018-12-01,La Gomera,17367.0
2019-01-01,La Gomera,16203.0
2019-02-01,La Gomera,17379.0
2019-03-01,La Gomera,18630.0
2019-04-01,La Gomera,16276.0
2019-05-01,La Gomera,13621.0
2019-06-01,La Gomera,13577.0
2019-07-01,La Gomera,19345.0
2019-08-01,La Gomera,23061.0
2019-09-01,La Gomera,16636.0
2019-10-01,La Gomera,16801.0
2019-11-01,La Gomera,16706.0
2019-12-01,La Gomera,16602.0
2020-01-01,La Gomera,15954.0
2020-02-01,La Gomera,16585.0
2020-03-01,La Gomera,7077.0
2020-07-01,La Gomera,18239.0
2020-08-01,La Gomera,23372.0
2020-09-01,La Gomera,14013.0
2020-10-01,La Gomera,7578.0
2020-11-01,La Gomera,6805.0
2020-12-01,La Gomera,8550.0
2021-01-01,La Gomera,5016.0
2021-02-01,La Gomera,7219.0
2021-03-01,La Gomera,8675.0
2021-04-01,La Gomera,5085.0
2021-05-01,La Gomera,9047.0
2021-06-01,La Gomera,8665.0
2021-07-01,La Gomera,16903.0
2021-08-01,La Gomera,17803.0
2021-09-01,La Gomera,14302.0
2021-10-01,La Gomera,12947.0
2021-11-01,La Gomera,11159.0
2021-12-01,La Gomera,12171.0
2022-01-01,La Gomera,10723.0
2022-02-01,La Gomera,11176.0
2022-03-01,La Gomera,12160.0
2022-04-01,La Gomera,14484.0
2022-05-01,La Gomera,11109.0
2022-06-01,La Gomera,9311.0
2022-07-01,La Gomera,16656.0
2022-08-01,La Gomera,23366.0
2022-09-01,La Gomera,13214.0
2022-10-01,La Gomera,12556.0
2022-11-01,La Gomera,11737.0
2022-12-01,La Gomera,12137.0
2023-01-01,La Gomera,12530.0
2023-02-01,La Gomera,11267.0
2023-03-01,La Gomera,12793.0
2023-04-01,La Gomera,13425.0
2023-05-01,La Gomera,11180.0
2023-06-01,La Gomera,11279.0
2023-07-01,La Gomera,14863.0
2023-08-01,La Gomera,19875.0
2023-09-01,La Gomera,15622.0
2023-10-01,La Gomera,16271.0
2023-11-01,La Gomera,13991.0
2023-12-01,La Gomera,13251.0
2024-01-01,La Gomera,12366.0
2024-02-01,La Gomera,13358.0
2024-03-01,La Gomera,12992.0
2024-04-01,La Gomera,9708.0
2024-05-01,La Gomera,8859.0
2024-06-01,La Gomera,10742.0
2024-07-01,La Gomera,14862.0
2024-08-01,La Gomera,23484.0
2024-09-01,La Gomera,13336.0
2024-10-01,La Gomera,16274.0
2024-11-01,La Gomera,12929.0
2024-12-01,La Gomera,17322.0
2025-01-01,La Gomera,14567.0
2025-02-01,La Gomera,16005.0
2025-03-01,La Gomera,19745.0
2025-04-01,La Gomera,16809.0
2025-05-01,La Gomera,13614.0
2025-06-01,La Gomera,16183.0
2010-01-01,La Palma,14918.0
2010-02-01,La Palma,15547.0
2010-03-01,La Palma,16404.0
2010-04-01,La Palma,11701.0
2010-05-01,La Palma,9029.0
2010-06-01,La Palma,8481.0
2010-07-01,La Palma,11838.0
2010-08-01,La Palma,14592.0
2010-09-01,La Palma,9833.0
2010-10-01,La Palma,11107.0
2010-11-01,La Palma,13908.0
