fecha,isla,adr_eur,revpar_eur,grado_ocupacion,month,quarter,is_high_season,revpar_eur_lag_1,revpar_eur_lag_3,revpar_eur_lag_12,revpar_eur_rolling_mean_3,revpar_eur_rolling_mean_12,revpar_eur_yoy_growth
2012-10-01,El Hierro,49.68,17.9,0.3603059581320451,10,4,0,14.04,14.95,25.34,17.096666666666664,19.216666666666665,-0.29360694554064726
2012-11-01,El Hierro,65.27,15.16,0.2322659721158265,11,4,1,17.9,22.3,18.02,18.08,18.596666666666668,-0.15871254162042173
2012-12-01,El Hierro,70.54,17.11,0.2425574142330592,12,4,0,15.16,14.04,16.38,15.699999999999998,18.358333333333334,0.044566544566544596
2013-01-01,El Hierro,55.01,13.11,0.2383203053990183,1,1,1,17.11,17.9,15.49,16.723333333333333,18.419166666666666,-0.15364751452550038
2013-02-01,El Hierro,54.23,21.91,0.4040199151761018,2,1,1,13.11,15.16,21.36,15.126666666666665,18.220833333333335,0.02574906367041202
2013-03-01,El Hierro,66.47,23.86,0.3589589288400782,3,1,1,21.91,17.11,24.36,17.376666666666665,18.266666666666666,-0.020525451559934318
2013-04-01,El Hierro,52.95,9.32,0.1760151085930122,4,2,0,23.86,13.11,22.09,19.626666666666665,18.224999999999998,-0.5780896333182435
2013-05-01,El Hierro,51.7,11.18,0.216247582205029,5,2,0,9.32,21.91,16.96,18.363333333333333,17.160833333333333,-0.3408018867924529
2013-06-01,El Hierro,51.92,14.09,0.2713790446841294,6,2,0,11.18,23.86,19.31,14.786666666666664,16.679166666666664,-0.27032625582599684
2013-07-01,El Hierro,60.58,22.3,0.3681082865632222,7,3,0,14.09,9.32,14.95,11.53,16.244166666666665,0.4916387959866222
2013-08-01,El Hierro,60.12,22.43,0.3730871590153027,8,3,1,22.3,11.18,22.3,15.856666666666664,16.856666666666666,0.005829596412556009
2013-09-01,El Hierro,60.21,16.29,0.2705530642750373,9,3,1,22.43,14.09,14.04,19.606666666666666,16.8675,0.16025641025641027
2013-10-01,El Hierro,59.41,22.18,0.3733378219155024,10,4,0,16.29,22.3,17.9,20.34,17.055,0.23910614525139673
2013-11-01,El Hierro,54.84,18.71,0.3411743253099927,11,4,1,22.18,22.43,15.16,20.299999999999997,17.411666666666665,0.23416886543535625
2013-12-01,El Hierro,54.41,18.72,0.3440544017643815,12,4,0,18.71,16.29,17.11,19.06,17.7075,0.09409701928696666
2014-01-01,El Hierro,53.74,18.5,0.3442500930405657,1,1,1,18.72,22.18,13.11,19.87,17.84166666666667,0.41113653699466063
2014-02-01,El Hierro,51.92,23.25,0.447804314329738,2,1,1,18.5,18.71,21.91,18.64333333333333,18.290833333333335,0.06115928799634869
2014-03-01,El Hierro,55.66,19.22,0.3453108156665468,3,1,1,23.25,18.72,23.86,20.156666666666666,18.4025,-0.19446772841575863
2014-04-01,El Hierro,60.15,16.56,0.2753117206982543,4,2,0,19.22,18.5,9.32,20.323333333333334,18.015833333333333,0.7768240343347638
2014-05-01,El Hierro,62.31,16.86,0.2705825710158883,5,2,0,16.56,23.25,11.18,19.676666666666666,18.619166666666665,0.5080500894454383
2014-06-01,El Hierro,56.78,20.53,0.3615709756956675,6,2,0,16.86,19.22,14.09,17.546666666666663,19.0925,0.45706174591909166
2014-07-01,El Hierro,59.06,25.06,0.4243142566881137,7,3,0,20.53,16.56,22.3,17.98333333333333,19.629166666666666,0.12376681614349766
2014-08-01,El Hierro,66.15,35.6,0.5381708238851096,8,3,1,25.06,16.86,22.43,20.816666666666666,19.859166666666667,0.5871600534997772
2014-09-01,El Hierro,62.88,22.26,0.3540076335877862,9,3,1,35.6,20.53,16.29,27.063333333333333,20.956666666666667,0.36648250460405174
2014-10-01,El Hierro,54.88,20.04,0.3651603498542273,10,4,0,22.26,25.06,22.18,27.64,21.454166666666666,-0.0964833183047791
2014-11-01,El Hierro,55.45,26.66,0.4807935076645626,11,4,1,20.04,35.6,18.71,25.966666666666665,21.275833333333335,0.424906467129877
2014-12-01,El Hierro,53.67,17.33,0.3228991988075274,12,4,0,26.66,22.26,18.72,22.986666666666665,21.938333333333333,-0.0742521367521368
2015-01-01,El Hierro,54.81,18.41,0.3358876117496807,1,1,1,17.33,20.04,18.5,21.34333333333333,21.8225,-0.004864864864864857
2015-02-01,El Hierro,53.1,17.66,0.3325800376647834,2,1,1,18.41,26.66,23.25,20.799999999999997,21.814999999999998,-0.2404301075268817
2015-03-01,El Hierro,57.0,19.57,0.3433333333333333,3,1,1,17.66,17.33,19.22,17.799999999999997,21.349166666666665,0.018210197710718076
2015-04-01,El Hierro,54.75,16.05,0.2931506849315068,4,2,0,19.57,18.41,16.56,18.546666666666663,21.378333333333334,-0.030797101449275246
2015-05-01,El Hierro,57.39,13.89,0.2420282279142707,5,2,0,16.05,17.66,16.86,17.759999999999994,21.335833333333337,-0.17615658362989317
2015-06-01,El Hierro,54.64,10.32,0.1888726207906295,6,2,0,13.89,19.57,20.53,16.50333333333333,21.088333333333335,-0.49732099366780325
