isla,train_end,test_end,test_start,covid_fold,model,mae,rmse,mape,interval_coverage
El Hierro,36,39,2013-01-01,False,naive_estacional,1.1433333333333338,1.4395485403417287,0.0758663585200506,
El Hierro,36,39,2013-01-01,False,sarima,1.6134753265537942,1.7692158245754683,0.08275475638296308,1.0
El Hierro,36,39,2013-01-01,False,lightgbm,4.278152847268306,4.626448985348041,0.25188758536323147,
El Hierro,36,39,2013-01-01,False,lightgbm_exog,4.278152847268306,4.626448985348041,0.25188758536323147,
El Hierro,39,42,2013-04-01,False,naive_estacional,7.923333333333333,8.63577249970532,0.7525472738809237,
El Hierro,39,42,2013-04-01,False,sarima,4.031975703152066,4.390793178093427,0.37399277391273805,0.6666666666666666
El Hierro,39,42,2013-04-01,False,lightgbm,10.602565719071357,11.4652798035043,0.9932569953162972,
El Hierro,39,42,2013-04-01,False,lightgbm_exog,10.602565719071357,11.4652798035043,0.9932569953162972,
El Hierro,42,45,2013-07-01,False,naive_estacional,3.2433333333333336,4.438539549596617,0.15783792290050272,
El Hierro,42,45,2013-07-01,False,sarima,9.00703053221993,11.528668322705423,0.4355908774109401,0.6666666666666666
El Hierro,42,45,2013-07-01,False,lightgbm,3.4344858293205065,4.526550691409572,0.17011460350729626,
El Hierro,42,45,2013-07-01,False,lightgbm_exog,3.4344858293205065,4.526550691409572,0.17011460350729626,
El Hierro,45,48,2013-10-01,False,naive_estacional,3.146666666666667,3.342304594138602,0.1562363393591625,
El Hierro,45,48,2013-10-01,False,sarima,4.525854957797279,4.630367446193672,0.23296366070755722,1.0
El Hierro,45,48,2013-10-01,False,lightgbm,0.9683947306096847,1.136553572068595,0.04719198107021123,
El Hierro,45,48,2013-10-01,False,lightgbm_exog,0.9683947306096847,1.136553572068595,0.04719198107021123,
El Hierro,48,51,2014-01-01,False,naive_estacional,3.7900000000000005,4.178408788043602,0.1968003174871021,
El Hierro,48,51,2014-01-01,False,sarima,3.296697162811023,3.4111506201738973,0.16571966542657512,1.0
El Hierro,48,51,2014-01-01,False,lightgbm,2.8768452737726697,3.4835868942814536,0.14917016391569635,
El Hierro,48,51,2014-01-01,False,lightgbm_exog,2.8768452737726697,3.4835868942814536,0.14917016391569635,
El Hierro,51,54,2014-04-01,False,naive_estacional,6.453333333333333,6.484689661040072,0.3625924689082057,
El Hierro,51,54,2014-04-01,False,sarima,6.722267515533567,6.728665510818239,0.377344069797559,1.0
El Hierro,51,54,2014-04-01,False,lightgbm,2.512074379260151,3.3832990128782376,0.12915343215739447,
El Hierro,51,54,2014-04-01,False,lightgbm_exog,2.512074379260151,3.3832990128782376,0.12915343215739447,
El Hierro,54,57,2014-07-01,False,naive_estacional,7.300000000000001,8.499164664836188,0.24942452156235537,
El Hierro,54,57,2014-07-01,False,sarima,10.476256011877831,11.233134200677336,0.36996297045615084,0.6666666666666666
El Hierro,54,57,2014-07-01,False,lightgbm,6.103290494702407,6.759621411281505,0.20922096094880946,
El Hierro,54,57,2014-07-01,False,lightgbm_exog,6.103290494702407,6.759621411281505,0.20922096094880946,
El Hierro,57,60,2014-10-01,False,naive_estacional,3.8266666666666667,4.820587792652122,0.16173123642979453,
El Hierro,57,60,2014-10-01,False,sarima,5.057297066820179,5.070428176173258,0.24182027384026059,1.0
